crm,Y1601,Y1602,Y1603,Y1604,Y1605,Y1606,Y1607,Y1608,Y1609,Y1610,Y1611,Y1612,Y1701,Y1702,Y1703,Y1704,Y1705,Y1706,Y1707,Y1708,Y1709,Y1710,Y1711,Y1712,Y1801,Y1802,Y1803,Y1804,Y1805,Y1806,Y1807
1452,6121,21267,11544,7580,12529,8586,13085,14581,23472,12386,15481,28568,26472,23725,20477,10390,30968,6893,26970,21075,20182,26172,28671,12584,14883,49055,23078,22677,16884,31568,17282
1461,12266,24107,39583,17257,6928,59228,24673,28215,20875,18428,35762,41756,23158,29571,37261,3294,37152,30070,32868,30367,24277,36759,23576,28964,35364,29673,13680,32666,38362,30867,10089
1466,299,4660,10490,8784,8189,15482,9333,8907,6724,7392,17627,7291,3195,8291,22172,1098,6334,22774,9588,18540,10686,6291,18220,10386,9389,11684,13586,9889,11889,10488,15184
1468,3808,26202,26728,25969,40691,29165,14079,23573,38055,27004,40056,41657,27307,47948,38257,32368,40257,18080,22673,21073,22374,40758,16979,15380,24511,17341,27970,36361,48750,35160,22976
1471,143,21224,16912,-3457,25691,1015,14081,53844,-22721,301,7395,32063,7271,13880,6196,2491,30865,26687,6789,20473,3595,7987,27265,9483,4994,3698,4095,10499,10587,15480,-5093
1472,16733,12180,13113,28580,27598,29773,10867,32820,20083,28719,39062,39413,38063,1797,22478,9190,8989,27173,25571,27793,31765,22777,35605,73237,3394,9092,24779,6994,24377,23476,23778
1481,13870,497,42304,5507,33594,35316,14457,34148,17231,26372,25973,38684,21175,22382,49680,-2004,15083,15178,29222,23872,32966,16475,6895,12086,33960,41659,23576,42350,6093,1190,18973
1483,11969,4236,6636,12288,12747,5571,4895,19032,1596,14036,5396,16386,9390,11889,21433,6594,4693,15685,8990,10487,6893,23978,7992,6895,3596,3497,18780,11489,10790,-1600,21483
1484,5640,3357,2896,4055,12347,7093,18582,-3398,5792,13487,1099,2598,7991,3001,18186,1996,598,399,16586,6392,8593,10990,-800,6594,5393,1398,6994,18384,-5196,3996,4234
1486,12822,17510,10682,28742,17121,44825,24370,38341,36563,27629,31169,16328,15982,14083,15587,18181,22082,29169,16130,24270,39304,35560,6488,15883,19649,26672,30867,10387,33666,21279,17084
1495,22050,16308,11105,29243,27792,25068,28461,5890,1994,7339,4295,26589,7309,-495,5594,6591,12635,17134,8689,13935,5575,8019,23400,9789,8422,14181,15134,1997,16186,398,-701
1501,45172,35943,30680,20745,31664,32305,13782,29960,32912,39613,33372,35362,38977,53840,51457,25770,33722,20172,26071,34560,16807,42558,37461,36263,29671,22693,42756,24475,60241,31871,20580
1503,3434,14415,10969,7041,8734,-20,6594,-565,5992,16085,11089,7793,11885,16584,4996,6194,1200,3398,8392,11687,11889,5793,6195,10890,15684,12288,8091,16234,17048,1447,8692
1506,5388,5665,8331,17089,11796,22161,17971,34941,21358,19367,15670,16022,26214,23063,37140,24756,26557,30647,22955,48724,32050,18267,20657,17869,28252,43133,26556,21562,35247,37150,28163
1508,12715,11068,29664,15268,29978,28568,9989,18524,22648,24073,12278,25672,13688,22879,11092,18781,24928,10587,19020,13711,16086,29716,8541,19182,28974,27576,20678,28527,9582,46809,18583
1509,26819,-903,80192,14938,4320,83167,11346,13945,52357,33682,32174,44622,6872,15687,37634,6735,59553,45662,28577,44160,59652,-581,-1681,29176,17986,19884,36493,36870,37367,10827,19241
1511,6848,8085,21568,13586,23060,55152,31572,6445,16633,14586,22579,35567,10441,27576,24878,17533,15987,28774,1697,46857,36868,17483,17531,37467,27874,23978,12589,17832,34021,14286,17683
1521,64812,53314,39939,65523,51031,60381,28224,45457,48367,29616,25622,235308,35740,14375,126718,4908,43044,27344,12476,21837,78375,53361,58911,170312,30862,15513,54446,22281,35399,27212,23206
